,"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
0,268,±149,615,±292,438,±229,252,±116,525,±254,0,±13
1,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
2,0,±13,0,±19,50,±83,0,±13,0,±19,0,±13
3,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
4,26,±41,72,±110,0,±19,0,±13,17,±27,0,±13
5,24,±36,26,±44,0,±19,0,±13,0,±19,0,±13
6,0,±13,67,±84,0,±19,143,±101,87,±68,0,±13
7,32,±47,0,±19,0,±19,0,±13,21,±35,0,±13
8,46,±42,141,±153,87,±101,43,±48,78,±55,0,±13
9,140,±111,309,±222,301,±187,66,±47,322,±208,0,±13
