"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","62,785","±2,730","16,146","±1,460","2,627","±893","18,648","±2,181"
"AGE","","","","","","","",""
"    16 to 19 years","3.5%","±1.1","0.3%","±0.5","5.2%","±5.0","1.2%","±1.2"
"    20 to 24 years","15.5%","±2.4","8.7%","±2.8","16.0%","±13.6","14.0%","±4.3"
"    25 to 44 years","52.5%","±3.2","46.1%","±6.2","44.8%","±15.8","65.2%","±5.9"
"    45 to 54 years","13.7%","±2.2","18.5%","±5.0","22.4%","±14.7","12.6%","±3.9"
"    55 to 59 years","4.4%","±1.2","6.4%","±2.4","2.0%","±3.4","2.4%","±1.5"
"    60 years and over","10.4%","±2.0","20.1%","±5.1","9.5%","±8.3","4.6%","±1.8"
"Median age (years)","33.4","±0.7","40.5","±3.6","35.2","±10.2","31.3","±1.0"
"SEX","","","","","","","",""
"    Male","48.9%","±2.8","46.5%","±4.5","36.3%","±15.5","46.2%","±5.2"
"    Female","51.1%","±2.8","53.5%","±4.5","63.7%","±15.5","53.8%","±5.2"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","71.0%","±2.9","71.2%","±6.1","74.2%","±15.0","71.2%","±5.1"
"        Black or African American","8.7%","±2.2","12.5%","±5.0","16.6%","±14.4","8.4%","±3.9"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","14.9%","±2.1","11.3%","±3.6","3.6%","±3.8","15.9%","±3.9"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","3.5%","±1.0","3.0%","±1.6","4.1%","±5.0","2.1%","±1.2"
"Hispanic or Latino origin (of any race)","6.7%","±2.2","7.8%","±4.4","5.7%","±7.1","7.0%","±3.6"
"White alone, not Hispanic or Latino","67.3%","±3.4","67.7%","±5.7","69.9%","±16.1","66.6%","±6.1"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","72.3%","±3.1","71.1%","±5.6","83.9%","±10.4","70.5%","±5.7"
"    Foreign born","27.7%","±3.1","28.9%","±5.6","16.1%","±10.4","29.5%","±5.7"
"        Naturalized U.S. citizen","11.3%","±1.8","20.0%","±5.0","8.3%","±8.1","9.6%","±3.3"
"        Not a U.S. citizen","16.4%","±2.7","8.9%","±3.0","7.8%","±7.8","19.9%","±5.7"
